cell_id,method_family,what_this_method_produces,framework,requirement,what_the_requirement_asks_for,YOUR_CODE (primary / supporting / contextual),YOUR_NOTE (optional)
C014,M11 Post-deployment monitoring,"Drift/runtime monitoring, logging, incident reports, continuous-assurance evidence.",NIST AI RMF,MANAGE function,"Allocate resources, prioritize risks, and implement/monitor risk responses over time.",,
C015,M12 Privacy evaluation,"Membership-inference, extraction, and differential-privacy evaluation results.",EU AI Act,Article 11 technical documentation,Produce technical documentation (Annex IV) showing the requirements are met.,,
C016,M12 Privacy evaluation,"Membership-inference, extraction, and differential-privacy evaluation results.",EU AI Act,Article 15 accuracy/robustness/cybersecurity,"Achieve appropriate accuracy, robustness, and cybersecurity.",,
C017,M12 Privacy evaluation,"Membership-inference, extraction, and differential-privacy evaluation results.",NIST AI RMF,MEASURE 2.11 fairness & bias,Evaluate and manage fairness and harmful bias.,,
C018,M2 Fairness & bias,Group/individual/counterfactual fairness and bias-benchmark results.,ISO/IEC 42001,A.6.2.4 verification & validation,Verify and validate the system against defined criteria before deployment.,,
C019,M3 Robustness & distribution shift,"Adversarial-, corruption-, and distribution-shift robustness test results.",EU AI Act,Article 10 data governance,"Ensure training/test data quality, representativeness, and governance.",,
C020,M3 Robustness & distribution shift,"Adversarial-, corruption-, and distribution-shift robustness test results.",EU AI Act,Article 13 transparency,"Give deployers clear information about capabilities, limits, and proper use.",,
C021,M3 Robustness & distribution shift,"Adversarial-, corruption-, and distribution-shift robustness test results.",EU AI Act,Article 15 accuracy/robustness/cybersecurity,"Achieve appropriate accuracy, robustness, and cybersecurity.",,
C022,M3 Robustness & distribution shift,"Adversarial-, corruption-, and distribution-shift robustness test results.",NIST AI RMF,MEASURE 2.3 performance/accuracy,Measure and document accuracy/performance under deployment-like conditions.,,
C023,M3 Robustness & distribution shift,"Adversarial-, corruption-, and distribution-shift robustness test results.",NIST AI RMF,MAP function,"Identify and document the system context, capabilities, and potential impacts/risks.",,
C024,M4 Safety,"Hazard analyses, dangerous-capability evals, content-harm/safety benchmark results.",EU AI Act,Article 13 transparency,"Give deployers clear information about capabilities, limits, and proper use.",,
C025,M4 Safety,"Hazard analyses, dangerous-capability evals, content-harm/safety benchmark results.",ISO/IEC 42001,A.5 assessing impacts,Assess and document the AI system’s impacts on people and society.,,
C026,M4 Safety,"Hazard analyses, dangerous-capability evals, content-harm/safety benchmark results.",ISO/IEC 42001,A.8 information for interested parties,Provide information about the AI system to interested parties/users.,,
C027,M4 Safety,"Hazard analyses, dangerous-capability evals, content-harm/safety benchmark results.",NIST AI RMF,MAP function,"Identify and document the system context, capabilities, and potential impacts/risks.",,
C028,M5 Red-teaming & adversarial,Red-team / jailbreak / prompt-injection attack results (attack success rates).,EU AI Act,Article 15 accuracy/robustness/cybersecurity,"Achieve appropriate accuracy, robustness, and cybersecurity.",,
C029,M5 Red-teaming & adversarial,Red-team / jailbreak / prompt-injection attack results (attack success rates).,NIST AI RMF,GOVERN function,"Organizational policies, roles, accountability, and risk-management culture for AI.",,
C030,M6 Interpretability & explainability,"Feature-attribution, probing, and explanation-faithfulness analyses.",ISO/IEC 42001,A.5 assessing impacts,Assess and document the AI system’s impacts on people and society.,,
C031,M7 Uncertainty & calibration,"Calibration error, uncertainty estimates, conformal/selective-prediction results.",EU AI Act,Article 13 transparency,"Give deployers clear information about capabilities, limits, and proper use.",,
C032,M7 Uncertainty & calibration,"Calibration error, uncertainty estimates, conformal/selective-prediction results.",ISO/IEC 42001,A.6.2.4 verification & validation,Verify and validate the system against defined criteria before deployment.,,
C033,M7 Uncertainty & calibration,"Calibration error, uncertainty estimates, conformal/selective-prediction results.",ISO/IEC 42001,A.6.2.6 operation & monitoring,"Operate and monitor the system in production (drift, degradation, anomalies).",,
C034,M7 Uncertainty & calibration,"Calibration error, uncertainty estimates, conformal/selective-prediction results.",NIST AI RMF,MEASURE 2.9 explainability,Evaluate explainability/interpretability of the system’s outputs.,,
C035,M8 Data quality/governance/docs,"Datasheets/data cards, dataset audits, provenance and contamination checks.",EU AI Act,Article 11 technical documentation,Produce technical documentation (Annex IV) showing the requirements are met.,,
C036,M8 Data quality/governance/docs,"Datasheets/data cards, dataset audits, provenance and contamination checks.",NIST AI RMF,GOVERN function,"Organizational policies, roles, accountability, and risk-management culture for AI.",,
C037,M8 Data quality/governance/docs,"Datasheets/data cards, dataset audits, provenance and contamination checks.",NIST AI RMF,MEASURE 2.10 privacy,"Evaluate privacy (data leakage, inference/extraction risk).",,
C038,M9 Transparency & model docs,"Model/system cards, FactSheets, transparency-index and reproducibility reports.",EU AI Act,Article 9 risk management,Establish and maintain a risk-management system across the lifecycle.,,
C039,M9 Transparency & model docs,"Model/system cards, FactSheets, transparency-index and reproducibility reports.",NIST AI RMF,GOVERN function,"Organizational policies, roles, accountability, and risk-management culture for AI.",,
C040,M9 Transparency & model docs,"Model/system cards, FactSheets, transparency-index and reproducibility reports.",ISO/IEC 42001,A.6.2.4 verification & validation,Verify and validate the system against defined criteria before deployment.,,
